appid,name,key_0,game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404,parsed_name_x,parsed_name_y
1591530,SAMURAI WARRIORS 5,samuraiwarriors5,Samurai Warriors 5,181,74,7.6,/game/pc/samurai-warriors-5/critic-reviews,,,,,,,,,,,,75.0,,,,,,,,,,70.0,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,70.0,,,,,,,,,,,,,70.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,SamuraiWarriors5,SAMURAIWARRIORS5
1586880,Essays on Empathy,essaysonempathy,Essays on Empathy,85,80,tbd,/game/pc/essays-on-empathy/critic-reviews,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,100.0,,,,,60.0,,,,,,,,,,,70.0,,70.0,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,EssaysonEmpathy,EssaysonEmpathy
1585820,Streets Of Rage 4 - Mr. X Nightmare,streetsofrage4mr.xnightmare,Streets of Rage 4: Mr. X Nightmare,6,88,7.6,/game/pc/streets-of-rage-4-mr-x-nightmare/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,95.0,,,,,,,,,85.0,,90.0,,,,70.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,90.0,,,,100.0,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,StreetsofRage4Mr.XNightmare,StreetsOfRage4Mr.XNightmare
1579380,Shadow Tactics: Blades of the Shogun - Aiko's Choice,shadowtacticsbladesoftheshogunaikoschoice,Shadow Tactics: Blades of the Shogun - Aiko's Choice,39,83,8.4,/game/pc/shadow-tactics-blades-of-the-shogun---aikos-choice/critic-reviews,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,70.0,,,,,,,90.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,75.0,,60.0,,,,80.0,,,,,,,,,,,,,,,,95.0,,,80.0,,,85.0,,,,,80.0,,,,,,,,,,,,,,,,,75.0,,95.0,,,,,,ShadowTacticsBladesoftheShogunAikosChoice,ShadowTacticsBladesoftheShogunAikosChoice
1569040,Football Manager 2022,footballmanager2022,Football Manager 2022,19,85,7,/game/pc/football-manager-2022/critic-reviews,,,,,95.0,85.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,70.0,82.0,,,,,,,,,,,80.0,,,,,,,,,,,,83.0,,80.0,,,,,,,82.0,70.0,,,,,,90.0,,90.0,95.0,,,80.0,,,,,80.0,,86.0,,90.0,,,,,75.0,,,,,,90.0,,,,,90.0,,85.0,80.0,,,85.0,80.0,,90.0,90.0,90.0,,,,,,,,,80.0,,,,,,,,,90.0,81.0,,80.0,,90.0,,,,,,80.0,85.0,,90.0,,,,,88.0,,,95.0,,,90.0,,90.0,,,FootballManager2022,FootballManager2022
1556870,Golf Club Wasteland,golfclubwasteland,Golf Club: Wasteland,99,79,6.2,/game/pc/golf-club-wasteland/critic-reviews,,,,,,,,,,,,70.0,85.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,72.0,,,,,,,80.0,,,,,,,,,,,,,85.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,85.0,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,GolfClubWasteland,GolfClubWasteland
1552350,The Jackbox Party Pack 8,thejackboxpartypack8,The Jackbox Party Pack 8,160,75,tbd,/game/pc/the-jackbox-party-pack-8/critic-reviews,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,75.0,,,,,,,,,,,70.0,,,80.0,,,,,,,,,,,,70.0,80.0,,,,,,,,,,,,,,,,,,,TheJackboxPartyPack8,TheJackboxPartyPack8
1551360,Forza Horizon 5,forzahorizon5,Forza Horizon 5,3,91,6.9,/game/pc/forza-horizon-5/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,81.0,,,,,,,,,,,90.0,90.0,,90.0,,,,85.0,,,,,,,,95.0,,,,,,90.0,100.0,,,,,,,,,,,,,,95.0,,,,95.0,,90.0,,,,,,,,,,,90.0,,100.0,90.0,90.0,,,,,,,,,,91.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,85.0,,,,,,ForzaHorizon5,ForzaHorizon5
1549970,Aliens: Fireteam Elite,aliensfireteamelite,Aliens: Fireteam Elite,240,69,5.7,/game/pc/aliens-fireteam-elite/critic-reviews,,,,,,70.0,,50.0,,,,70.0,,,,70.0,90.0,,,,,,55.0,,,,,,,,,,50.0,,,,,,,,,,,,55.0,58.0,,,,75.0,,,,70.0,,80.0,78.0,70.0,,,,,,,,,,,,,,,,100.0,,70.0,,,,,,,70.0,,70.0,,,60.0,,,,,70.0,,,,,,,80.0,,,,,,65.0,80.0,55.0,65.0,73.0,70.0,70.0,,70.0,,,,,50.0,,,,,,,,,,60.0,,,,,,35.0,,,78.0,,,,,80.0,70.0,,,,,,,,,,,,,,,,,,,AliensFireteamElite,AliensFireteamElite
1548750,Conway: Disappearance at Dahlia View,conwaydisappearanceatdahliaview,Conway: Disappearance at Dahlia View,249,68,tbd,/game/pc/conway-disappearance-at-dahlia-view/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,70.0,,,,,,,,,,,,,,,,,,,,,70.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,60.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,55.0,,,,,,ConwayDisappearanceatDahliaView,ConwayDisappearanceatDahliaView
1546920,Overboard!,overboard!,Overboard!,66,81,tbd,/game/pc/overboard!/critic-reviews,,100.0,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,85.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overboard!,Overboard!
1530770,Star Wars™ Pinball VR,starwarspinballvr,Star Wars Pinball VR,61,81,tbd,/game/pc/star-wars-pinball-vr/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,80.0,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,65.0,90.0,,,80.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,90.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,80.0,,,,,80.0,,,,,,,,,,,,,,StarWarsPinballVR,StarWarsPinballVR
1529550,The Magnificent Trufflepigs,themagnificenttrufflepigs,The Magnificent Trufflepigs,271,66,5,/game/pc/the-magnificent-trufflepigs/critic-reviews,,50.0,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,60.0,70.0,,,,,,,,,,,,,,,,55.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,80.0,,,,,,,,,,,,,,68.0,,,,,,,,60.0,,,,,,,,,,65.0,,,,,75.0,,,,,,,,,,,60.0,80.0,,,,50.0,,,,,,50.0,,,,,60.0,,,,90.0,,,,70.0,,,,,,,,,,,TheMagnificentTrufflepigs,TheMagnificentTrufflepigs
1522820,Orcs Must Die! 3,orcsmustdie!3,Orcs Must Die! 3,128,77,6.8,/game/pc/orcs-must-die!-3/critic-reviews,78.0,,,,,,,,,,,85.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,81.0,,,,,,,,,,,,,,83.0,72.0,,,,90.0,,,,,,,,,78.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,OrcsMustDie!3,OrcsMustDie!3
1522650,Wasteland 3: The Battle of Steeltown,wasteland3thebattleofsteeltown,Wasteland 3: The Battle of Steeltown,184,73,7.5,/game/pc/wasteland-3-the-battle-of-steeltown/critic-reviews,,,,,,,,,,,,70.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,70.0,,,,,,,,,,,,,80.0,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,80.0,,,,80.0,,,,Wasteland3TheBattleofSteeltown,Wasteland3TheBattleofSteeltown
1522140,Demon Skin,demonskin,Demon Skin,316,48,7.4,/game/pc/demon-skin/critic-reviews,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,60.0,,50.0,,,,,,,,,,,68.0,,,40.0,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,70.0,,,,,,DemonSkin,DemonSkin
1517970,Aeterna Noctis,aeternanoctis,Aeterna Noctis,174,74,7.9,/game/pc/aeterna-noctis/critic-reviews,,,,,70.0,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,60.0,63.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,77.0,,,,,,,,80.0,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,67.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,70.0,,,,AeternaNoctis,AeternaNoctis
1517290,Battlefield™ 2042,battlefield2042,Battlefield 2042,253,68,2.1,/game/pc/battlefield-2042/critic-reviews,,,,,,,80.0,40.0,,,,,60.0,90.0,,80.0,,,,,,,,75.0,,,90.0,,,100.0,70.0,,80.0,75.0,,,80.0,,,70.0,,,65.0,,,,60.0,,,45.0,,,60.0,40.0,,70.0,71.0,70.0,80.0,,50.0,55.0,40.0,70.0,,87.0,,,40.0,70.0,75.0,65.0,,,40.0,,40.0,70.0,60.0,,84.0,,70.0,,,,,70.0,,,,85.0,90.0,,,,40.0,60.0,,,,78.0,65.0,,80.0,78.0,60.0,66.0,90.0,80.0,70.0,70.0,70.0,60.0,,80.0,,75.0,85.0,,,,,,40.0,,,,50.0,,,,75.0,83.0,45.0,,,90.0,,,,,40.0,60.0,,80.0,,90.0,,60.0,,70.0,60.0,,,50.0,80.0,70.0,,,,,Battlefield2042,Battlefield2042
1506510,The Ramp,theramp,The Ramp,50,82,tbd,/game/pc/the-ramp/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,100.0,,,,,,,,75.0,,,,88.0,,,,,,,,,,,,,,,,,,,,,,80.0,70.0,,,,,,,,,,,,,,,80.0,,,,,,,,80.0,,,,,,,,,,,TheRamp,TheRamp
1484900,Hoa,hoa,Hoa,222,71,8.3,/game/pc/hoa/critic-reviews,,,,,,,,,,,,70.0,,,,70.0,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,70.0,,,80.0,,,,,,,,,,,,,,,,,,,,80.0,,,,,69.0,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,Hoa,Hoa
1484280,Demeo,demeo,Demeo,44,83,8.2,/game/pc/demeo/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,81.0,,,,,100.0,,,,,,100.0,,,80.0,,,,,,,70.0,,,,Demeo,Demeo
1480560,Lawn Mowing Simulator,lawnmowingsimulator,Lawn Mowing Simulator,243,69,5,/game/pc/lawn-mowing-simulator/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,70.0,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,65.0,,,,,,,,LawnMowingSimulator,LawnMowingSimulator
1471960,Room to Grow,roomtogrow,Room to Grow,144,76,tbd,/game/pc/room-to-grow/critic-reviews,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,62.0,,,,,,,,,,,,90.0,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RoomtoGrow,RoomtoGrow
1466860,Age of Empires IV,ageofempiresiv,Age of Empires IV,68,81,7.8,/game/pc/age-of-empires-iv/critic-reviews,80.0,,,,90.0,90.0,,95.0,,,,,100.0,84.0,,80.0,,,,,,,,65.0,,,,,90.0,,,70.0,80.0,85.0,,,85.0,80.0,,80.0,,83.0,85.0,80.0,75.0,68.0,70.0,,,,90.0,90.0,70.0,,80.0,70.0,86.0,75.0,80.0,85.0,,,60.0,,,89.0,80.0,,,100.0,,,,95.0,,90.0,60.0,80.0,80.0,80.0,89.0,,80.0,,80.0,86.0,,80.0,90.0,98.0,,75.0,80.0,,,80.0,85.0,60.0,,,,85.0,84.0,70.0,85.0,90.0,80.0,77.0,,77.0,80.0,85.0,80.0,,,85.0,,80.0,75.0,,,,,86.0,,,,60.0,,,,,,82.0,80.0,,,87.0,,,,,,80.0,85.0,,,,,80.0,80.0,85.0,,,90.0,,70.0,100.0,79.0,75.0,90.0,,AgeofEmpiresIV,AgeofEmpiresIV
1466640,Road 96,road96,Road 96,100,79,7,/game/pc/road-96/critic-reviews,,80.0,,,,,,,,,,60.0,,,,70.0,,,70.0,,,80.0,75.0,,,,,,70.0,,,70.0,80.0,75.0,,,,,,,,,,,,,,,,,60.0,,70.0,,,,79.0,,,90.0,,70.0,90.0,,,,,80.0,80.0,,,,,,,90.0,,90.0,,,,,80.0,,80.0,80.0,,,90.0,82.0,,,75.0,83.0,,,,,86.0,,,,,,,70.0,100.0,,80.0,,70.0,,,,,,100.0,,,,82.0,,,,77.0,,,,,,,,,77.0,,,,83.0,70.0,,,,80.0,,,,,80.0,,,,80.0,,,,,,,90.0,,,,Road96,Road96
1462810,WRC 10 FIA World Rally Championship,wrc10fiaworldrallychampionship,WRC 10 FIA World Rally Championship,180,74,4.3,/game/pc/wrc-10-fia-world-rally-championship/critic-reviews,,,,,,,,,,,,80.0,,,,,,,,,,70.0,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,73.0,,,79.0,,70.0,80.0,,,,,,,,,,,,,,,,,,70.0,,80.0,,,,,,79.0,,,,,,,80.0,,,,,,,,,,,,,70.0,,72.0,,,,,,70.0,,,,,,,,,,,,,,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WRC10FIAWorldRallyChampionship,WRC10FIAWorldRallyChampionship
1462570,Lost in Random™,lostinrandom,Lost in Random,109,78,7.2,/game/pc/lost-in-random/critic-reviews,,,,,,,,80.0,,,,90.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,75.0,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,80.0,,,,,,,,,,,,80.0,,60.0,78.0,,,,75.0,,,,,,,,,,,,79.0,,,,80.0,70.0,,,,,80.0,,,,83.0,,,,,70.0,,,,,,,,,75.0,,,,,,90.0,,,,,LostinRandom,LostinRandom
