game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404
Pathfinder: Wrath of the Righteous,41.,83,7.7,/game/pc/pathfinder-wrath-of-the-righteous/critic-reviews,,,,,,,,,,,,85,,85,,80,,,70,,,,,,,,,,,,,,80,,,,,,,,,,,80,,89,,,,,,,,95,,,87,,,,,,,85,,88,90,,,,,,80,80,,,,,,,,,80,,80,87,,90,,88,,,,,,,,,,75,,,,,85,82,,,,76,,85,,,,,,,,,,,,,82,,,80,80,,,,,80,,,,,,,,,90,,,,,,,,,,,,80,,,,90,,,
The Great Ace Attorney Chronicles,42.,83,6.4,/game/pc/the-great-ace-attorney-chronicles/critic-reviews,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,80,,,,90,,,,,,,,,,,,,73,80,80,,,,,,,,,90,90,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Evil Village,43.,83,8.4,/game/pc/resident-evil-village/critic-reviews,,,,,88,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,78,,,,90,,,80,,,90,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,83,,,,,85,92,,,,85,80,85,80,80,,,,,,40,,,,87,68,,,,,,,,,,,80,,,,,,,,,,,90,,,,,,,,,,,90,,,,
Demeo,44.,83,8.2,/game/pc/demeo/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,81,,,,,100,,,,,,100,,,80,,,,,,,70,,,
Chivalry 2,45.,82,5.0,/game/pc/chivalry-2/critic-reviews,83,,,,,,,,,,,90,,,,80,,,80,,,,,,,,,,,,,,,,,,,,,,,,,80,,81,,,,,,,90,,,,83,,70,80,80,,,,,,,,,,,88,,90,,85,,70,,,,,90,,,,,80,,,90,,80,,,,,,,80,85,83,,,80,80,60,,,91,70,80,80,,90,,,,,,,,,,,,,80,90,,,,,80,,,,88,80,,,,,,,,,,,,,80,,,,,,90,83,,,
Kaze and the Wild Masks,46.,82,7.8,/game/pc/kaze-and-the-wild-masks/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,80,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,83,,,,,,85,,,,,,,,,,,,79,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow Billy: The Curse of the Leviathan,47.,82,8.4,/game/pc/rainbow-billy-the-curse-of-the-leviathan/critic-reviews,,,,,,,,,,,,,,,,,,,,85,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,80,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,
Yakuza 6: The Song of Life,48.,82,8.5,/game/pc/yakuza-6-the-song-of-life/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,80,,,70,79,,,,80,,,,,,,81,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,
Eastward,49.,82,7.3,/game/pc/eastward/critic-reviews,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,90,,,70,80,90,,,,90,,,,85,,,,,,,,,,,,90,,,72,,90,,,,50,,,85,,,,80,,,,,,80,,,,90,,,80,,,,70,,,,,,90,,,,,,,,,85,,,90,88,60,,95,78,80,,,,90,,100,,,,,80,,82,,,,100,,,,,,75,,,,,80,,,,90,,,,,80,,,,78,,,,,,,,,,
The Ramp,50.,82,tbd,/game/pc/the-ramp/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,100,,,,,,,,75,,,,88,,,,,,,,,,,,,,,,,,,,,,80,70,,,,,,,,,,,,,,,80,,,,,,,,80,,,,,,,,,,
Subnautica: Below Zero,51.,82,6.3,/game/pc/subnautica-below-zero/critic-reviews,84,,,60,,,80,,,,,90,,,,70,,85,,85,,,85,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,85,,,,,,,,,,70,,,,,,,,,,,,,,,,90,,70,,,,,,,,80,,,,,,,,,84,,,70,,,74,,86,90,85,,,,,,85,85,,,,,,,,,,,,,,,,,,,90,70,,,,,80,84,,,,,,,,,,75,,,,,,,
Outer Wilds: Echoes of the Eye,52.,82,8.7,/game/pc/outer-wilds-echoes-of-the-eye/critic-reviews,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,70,,,,,,,90,,,,,,,,,80,,,,,,,,,,80,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archvale,53.,82,7.7,/game/pc/archvale/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,85,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,75,,,90,,,,,,,,,70,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Fantasy V Pixel Remaster,54.,82,8.4,/game/pc/final-fantasy-v-pixel-remaster/critic-reviews,,,,,,,,,,,,,90,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,91,,,80,80,,,80,,,,,,80,,,,,,,,,80,,,,,,,,,,80,,,,,,75,,,,,,,,,,,,90,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,
Tainted Grail: Conquest,55.,82,7.3,/game/pc/tainted-grail-conquest/critic-reviews,,,,,,,,,,,90,85,,68,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,75,,80,,,,,,,,,,,,,,,,85,,,,,90,,,,,,,,,,,,,,,,,,
Quake Remastered,56.,82,9.0,/game/pc/quake-remastered/critic-reviews,,,,,,,,,,,,80,,,,,,,90,,,,90,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Hunter Stories 2: Wings of Ruin,57.,82,7.8,/game/pc/monster-hunter-stories-2-wings-of-ruin/critic-reviews,,,,,,,90,,80,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,90,,,,,,,75,75,,,,,,,,,,,,,,,,,80,,,,,,,,80,,,85,,,,,,,,,,,,,,,,,,,80,,,,,80,90,80,80,,,,,,85,,,80,,,,,,,,,,,,,80,,,,,,,,,,,80,,,,80,,,,,80,,90,90,,,,
Loop Hero,58.,82,8.1,/game/pc/loop-hero/critic-reviews,68,,,,,,70,,,,,85,,88,,80,,,,,,,,,86,,,,,,,50,80,82,,,,60,,,,85,85,90,,,,,80,95,,,,,80,80,85,,80,,90,80,,80,88,,70,,,,,90,,,,90,,90,80,80,,98,80,,,80,,,80,90,,,75,,80,,,,86,,95,82,,,,88,,79,85,83,80,90,80,,,,,,,,,,,91,,,,80,90,90,,80,90,,,,,90,,,,,90,80,73,,,90,,,,85,,,,,,,,,,
Cyber Shadow,59.,82,7.1,/game/pc/cyber-shadow/critic-reviews,81,,,,,80,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,70,,,80,,,,,,,,,,,,,,,,,,,,,80,83,,80,,,,,,,,,,75,90,,,,,,,,79,,,,72,,,90,75,,95,,,,,,,,,,,,89,,,,80,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
Doki Doki Literature Club Plus!,60.,81,8.8,/game/pc/doki-doki-literature-club-plus!/critic-reviews,,,,,,,,,,,,,,,,70,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,80,,,,,,,,,,88,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
Star Wars Pinball VR,61.,81,tbd,/game/pc/star-wars-pinball-vr/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,80,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,65,90,,,80,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,90,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,80,,,,,80,,,,,,,,,,,,,
GRIME,62.,81,8.0,/game/pc/grime/critic-reviews,,,,,,,,,,,,,,82,,80,,,,,,,,,,,,,,,,,80,80,80,,,,,,,,,,,,,,55,,,,90,80,,,,,,,,,,,,,,,,,,,,90,,95,,80,,70,,,90,,,92,,,,,,,,,,,,,,,,,,,,80,100,,75,,,85,,,,,,,,,,,,89,,,,,80,,,70,,78,,,,,60,,,,,80,,75,,,,,,,85,,,,80,,,,,
Life is Strange: True Colors,63.,81,6.7,/game/pc/life-is-strange-true-colors/critic-reviews,,80,,,,,80,,,,,,95,92,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,85,,,,85,,,,,,70,82,,,,,,,,,,,80,,,,,,,,90,,,,,,,,,80,,,,,,,,70,,,,,,,,,,82,,85,,,83,,86,70,90,80,,,,100,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,80,,75,,,,,,80,80,,,
The Sims 4: Cottage Living,64.,81,5.3,/game/pc/the-sims-4-cottage-living/critic-reviews,,,,,,,,,,,,90,,85,,,,,,,,,,75,,70,,,,,,,,,,,83,,,,,,,,,,,,,75,,,,,,,79,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,75,,80,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,
Boomerang X,65.,81,7.3,/game/pc/boomerang-x/critic-reviews,,,,,,,,,,,,80,,72,,70,,,,,,80,90,,90,,,,,,,80,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,80,,80,,70,80,,,,,,,,,,75,90,,,,,,,,83,,,,75,100,,65,,,70,,,,,,,,,,,,,,,,90,80,,,,85,,,,,80,,,,,,80,,,,,,,,,,,,,,,,,,
Overboard!,66.,81,tbd,/game/pc/overboard!/critic-reviews,,100,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,85,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,80,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicon Dreams,67.,81,tbd,/game/pc/silicon-dreams/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,65,,,,89,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,
Age of Empires IV,68.,81,7.8,/game/pc/age-of-empires-iv/critic-reviews,80,,,,90,90,,95,,,,,100,84,,80,,,,,,,,65,,,,,90,,,70,80,85,,,85,80,,80,,83,85,80,75,68,70,,,,90,90,70,,80,70,86,75,80,85,,,60,,,89,80,,,100,,,,95,,90,60,80,80,80,89,,80,,80,86,,80,90,98,,75,80,,,80,85,60,,,,85,84,70,85,90,80,77,,77,80,85,80,,,85,,80,75,,,,,86,,,,60,,,,,,82,80,,,87,,,,,,80,85,,,,,80,80,85,,,90,,70,100,79,75,90,
Tails of Iron,69.,81,8.3,/game/pc/tails-of-iron/critic-reviews,,,,,,,,,,,,85,,85,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,70,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,90,,,,,,,,78,,,,82,,,,,,90,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,
Exo One,70.,81,7.2,/game/pc/exo-one/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,80,,,,,,,,,,,,,85,,,,,,,,,,82,,,,,80,,,,,,,,,,,,,,,80,70,,,,,,,,,,,,,,,75,90,,,,,,,,78,,,,90,80,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,80,,,,,,,,70,,,,,,,,,,
Old World,71.,80,7.4,/game/pc/old-world/critic-reviews,,,,,,,,85,,,,,,79,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,85,,,,87,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,
Dark Deity,72.,80,4.4,/game/pc/dark-deity/critic-reviews,,,,,,,,,,,95,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,90,,,,,,,,,,,,,,80,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,90,,,,,,,,91,,,,,,,70,,,80,,,,,,,,,,,,,90,,,,,,,,,70,,,,,,,,,
Ruined King: A League of Legends Story,73.,80,7.7,/game/pc/ruined-king-a-league-of-legends-story/critic-reviews,,,,,,,,,,,,,,80,,70,,,,,,,,,85,,,,,,,,,85,,,,,,,,70,,,,,,,,,,,,,,,83,,,,,,,,,74,,,,,,,,,90,,,,,,,,,,80,83,,,,,,,80,,,,,,,,,,82,,80,85,80,,,75,80,,,,,,,79,,,84,80,,87,,,,,,,,,,,,,,88,,,,,,,82,,,,,,,83,,,90,,,,,,,
Skul: The Hero Slayer,74.,80,6.4,/game/pc/skul-the-hero-slayer/critic-reviews,,,,,,,,,,,,,,85,,,,,,,70,,,,83,,,,,,,,70,,,,,,,,,,,,,,,,80,90,,,90,90,,,,,,,,,,,,,,,,,83,,,,,,,,,80,,,80,,,82,,,,,,,,87,60,,,,,,,83,,,,82,,,80,,,80,,,,,,,,,,,,,,,,90,,,,,,,,,,82,80,,,,,80,,,,,,,,,,,,,,,,,,
Halo Infinite,75.,80,7.0,/game/pc/halo-infinite/critic-reviews,,,,,,,70,,,,,,,76,,80,,,,,,,,,,,,,,,80,,,,,,,,,,,,,90,75,,75,,,,,,,,,,84,90,,80,,,,,,,70,,,,75,,,90,,,,80,80,,,,,,,,,,,,,,80,,,,80,,,,,,,,80,,100,,,78,80,85,80,90,,,,,,,,,,,65,,,,,,,60,,,,,,95,,80,,,,,,,,,,,,,,,80,,,,90,,,
Impostor Factory,76.,80,8.5,/game/pc/impostor-factory/critic-reviews,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,80,,,,,,93,,,,,,,,,,,,,,,,80,,,,80,,67,,,,,,,,,,,,,91,,,,,,,,,,80,,,81,,,,,80,,,,,,,,,,,,,,,,,,,,,,,
The Legend of Tianding,77.,80,8.4,/game/pc/the-legend-of-tianding/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,79,,,,,83,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,70,,,,,,,80,,,,,,,,,,,,,,,89,,,,,,,,,95,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,
Dandy Ace,78.,80,8.5,/game/pc/dandy-ace/critic-reviews,,,,,,,,,,,,80,,,,,,,,80,,70,,,,,,,,,,,70,,,,,,,,,,,,,,,,80,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,90,,,90,,,,,,,,,,,,,,,,70,80,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,
Diablo II: Resurrected,79.,80,3.0,/game/pc/diablo-ii-resurrected/critic-reviews,,,,,,85,70,90,,,,80,95,83,,60,,,90,,,,,70,,,90,,,,,,80,80,,,,,,75,,88,,80,,,,,,,,,,,,60,82,,80,,,,,,,85,,,,,,,,85,70,,,80,,,,,70,,,86,,,,82,,,,,,,90,,86,85,,,,,75,80,,,85,80,80,,80,,,65,,90,,,,,,92,80,,,,70,,,,,,70,,,,,,,,,,,,,80,,,,85,,,,,90,,75,,,
The Artful Escape,80.,80,6.4,/game/pc/the-artful-escape/critic-reviews,,,,,,,80,,,,,,70,,,100,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,80,,,90,90,,,,,,,,,,90,,90,,70,,,,,,,,,80,,,82,,,,,,,75,85,,,,,,,,75,,,,80,,,65,75,,,,,,,,,,,,,,,,,,40,60,,,80,,,,,,,90,,,,,,80,80,,,,,,85,,,70,,,100,,,,
Final Fantasy Pixel Remaster,81.,80,5.6,/game/pc/final-fantasy-pixel-remaster/critic-reviews,,,,,,,,,,,,70,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,80,80,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,70,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,73,,,,75,,,
Dreamscaper,82.,80,7.8,/game/pc/dreamscaper/critic-reviews,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,70,,,,,76,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,75,,,,88,,80,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,
Knockout City,83.,80,6.4,/game/pc/knockout-city/critic-reviews,,,,,,80,70,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,75,,,,,,,80,,,,,,65,,,,,,,,,,,,,,,,,,,,90,,,,,70,,80,,,,,,90,,,,,,,,,,75,,,,,,,,,,,,,75,,,,90,,,,,,,,,,,,,,,,,,,80,,,,,70,,,,76,,,,,80,,83,,,,,,,75,,,,,,80,,,,
NieR Replicant ver.1.22474487139...,84.,80,7.6,/game/pc/nier-replicant-ver122474487139/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,80,,,,,85,,,,,,,,,,82,,80,,,,,90,80,75,70,,,,,,,,,90,,75,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essays on Empathy,85.,80,tbd,/game/pc/essays-on-empathy/critic-reviews,,,,,,,,,,,,,,,,90,,,,,,,,,,,,100,,,,,60,,,,,,,,,,,70,,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,75,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,
The Life and Suffering of Sir Brante,86.,80,8.6,/game/pc/the-life-and-suffering-of-sir-brante/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,65,,,80,,,,,,,,,,,,,,,90,,,,,,,,,,,,,90,,,,,,,,,,,,,,90,,,,,,,,,,,,,,82,,,,,,,,,,,,,85,,,,68,,,,,,,,,,,,,75,80,,,,,,,,,,,,,,,,,,75,,85,,,
Scarlet Nexus,87.,79,7.7,/game/pc/scarlet-nexus/critic-reviews,,,,,,,,,,,,80,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,88,,,,78,,,,100,,,,,,70,74,,,,,,,,,,,,,,,,,90,,,,50,,,,92,80,,,,,90,,,,,75,,,,,,,,,,80,,80,,,,,78,,80,60,,,,,,,,,,,80,,,,,,,,,,,,,,80,,,,,,80,,,,80,,,,,,,80,,,,80,,,
LEGO Builder's Journey,88.,79,7.1,/game/pc/lego-builders-journey/critic-reviews,,,,,,,,80,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,82,,,75,,,,,,,,,,70,80,,80,,,,79,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,83,,,,,,,80,,,,,,,80,,,
Time Loader,89.,79,6.8,/game/pc/time-loader/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,85,,,,,,,,,,,,,,,,,,,,,,90,,,,90,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloomhaven,90.,79,7.0,/game/pc/gloomhaven/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,50,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,90,,,,,,,85,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,80,,,,87,,,,,,,,,,,,,70,90,,,,,,,,,,,,,,,80,,,,80,,,,,,,,,,,,,,,,,,,
TOEM,91.,79,7.0,/game/pc/toem/critic-reviews,,90,,,,,,,,,,80,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,80,,,,,,,90,,,,,,75,,,,,,,,,70,,,,80,,,90,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,
The Eternal Cylinder,92.,79,8.2,/game/pc/the-eternal-cylinder/critic-reviews,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,95,,,,,,,,,,,,,,,,70,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean's Heart,93.,79,5.9,/game/pc/oceans-heart/critic-reviews,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,70,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,70,,,,,,,80,,,85,,,,,,90,,,,,80,,,,,,,,,,,,,,,,,,
Hell Let Loose,94.,79,7.2,/game/pc/hell-let-loose/critic-reviews,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,75,,,86,,,,,,,,,,80,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,80,,,70,,,90,,,,83,,,,,,,,,,,80,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,
Shin Megami Tensei III: Nocturne HD Remaster,95.,79,7.4,/game/pc/shin-megami-tensei-iii-nocturne-hd-remaster/critic-reviews,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,80,,,,,,,,,,,,,70,85,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,85,,,,,,,,85,,,,,,,,,,,75,,,,,,,,,,,,60,,,,,,70,80,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,
The Vale: Shadow of the Crown,96.,79,8.1,/game/pc/the-vale-shadow-of-the-crown/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,80,,87,,,,,,,,,,,,,,,93,,80,,70,,,80,,,,,,,,,,,70,,,,80,,,,,,,,,,,,,,,,,,,
Final Fantasy III Pixel Remaster,97.,79,4.9,/game/pc/final-fantasy-iii-pixel-remaster/critic-reviews,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,80,80,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,73,,,,80,,,
