game_name,appid,total_reviews,pos_reviews,neg_reviews,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404,parsed_name_x,parsed_name_y
Lawn Mowing Simulator,1480560,1113,851,262,243,69,5,/game/pc/lawn-mowing-simulator/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,70.0,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,65.0,,,,,,,,LawnMowingSimulator,LawnMowingSimulator
Room to Grow,1471960,108,104,4,144,76,tbd,/game/pc/room-to-grow/critic-reviews,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,62.0,,,,,,,,,,,,90.0,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RoomtoGrow,RoomtoGrow
Age of Empires IV,1466860,28899,25458,3441,68,81,7.8,/game/pc/age-of-empires-iv/critic-reviews,80.0,,,,90.0,90.0,,95.0,,,,,100.0,84.0,,80.0,,,,,,,,65.0,,,,,90.0,,,70.0,80.0,85.0,,,85.0,80.0,,80.0,,83.0,85.0,80.0,75.0,68.0,70.0,,,,90.0,90.0,70.0,,80.0,70.0,86.0,75.0,80.0,85.0,,,60.0,,,89.0,80.0,,,100.0,,,,95.0,,90.0,60.0,80.0,80.0,80.0,89.0,,80.0,,80.0,86.0,,80.0,90.0,98.0,,75.0,80.0,,,80.0,85.0,60.0,,,,85.0,84.0,70.0,85.0,90.0,80.0,77.0,,77.0,80.0,85.0,80.0,,,85.0,,80.0,75.0,,,,,86.0,,,,60.0,,,,,,82.0,80.0,,,87.0,,,,,,80.0,85.0,,,,,80.0,80.0,85.0,,,90.0,,70.0,100.0,79.0,75.0,90.0,,AgeofEmpiresIV,AgeofEmpiresIV
Road 96,1466640,7028,6473,555,100,79,7,/game/pc/road-96/critic-reviews,,80.0,,,,,,,,,,60.0,,,,70.0,,,70.0,,,80.0,75.0,,,,,,70.0,,,70.0,80.0,75.0,,,,,,,,,,,,,,,,,60.0,,70.0,,,,79.0,,,90.0,,70.0,90.0,,,,,80.0,80.0,,,,,,,90.0,,90.0,,,,,80.0,,80.0,80.0,,,90.0,82.0,,,75.0,83.0,,,,,86.0,,,,,,,70.0,100.0,,80.0,,70.0,,,,,,100.0,,,,82.0,,,,77.0,,,,,,,,,77.0,,,,83.0,70.0,,,,80.0,,,,,80.0,,,,80.0,,,,,,,90.0,,,,Road96,Road96
WRC 10 FIA World Rally Championship,1462810,1132,801,331,180,74,4.3,/game/pc/wrc-10-fia-world-rally-championship/critic-reviews,,,,,,,,,,,,80.0,,,,,,,,,,70.0,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,73.0,,,79.0,,70.0,80.0,,,,,,,,,,,,,,,,,,70.0,,80.0,,,,,,79.0,,,,,,,80.0,,,,,,,,,,,,,70.0,,72.0,,,,,,70.0,,,,,,,,,,,,,,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WRC10FIAWorldRallyChampionship,WRC10FIAWorldRallyChampionship
Lost in Random,1462570,873,808,65,109,78,7.2,/game/pc/lost-in-random/critic-reviews,,,,,,,,80.0,,,,90.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,75.0,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,80.0,,,,,,,,,,,,80.0,,60.0,78.0,,,,75.0,,,,,,,,,,,,79.0,,,,80.0,70.0,,,,,80.0,,,,83.0,,,,,70.0,,,,,,,,,75.0,,,,,,90.0,,,,,LostinRandom,LostinRandom
Cozy Grove,1458100,3842,3434,408,200,72,5.9,/game/pc/cozy-grove/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,80.0,,,,,,,,,,,,,,,70.0,,,,,,,,,65.0,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,CozyGrove,CozyGrove
The Good Life,1452500,180,149,31,293,62,5.7,/game/pc/the-good-life/critic-reviews,,,,,,,,,,,,,,,,50.0,,,,,,,60.0,,,,,,,,,50.0,,,,,,,,,,70.0,,,,,,,70.0,,,,,,,60.0,,,,,,,,,,,60.0,,,,,,,80.0,,50.0,,50.0,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,60.0,79.0,,50.0,,,,,,,,,75.0,,,,59.0,,,,,,,,,,,,,,50.0,,,,,70.0,,,,,,,,,,,70.0,,,,,,,,TheGoodLife,TheGoodLife
Sunlight,1451120,124,109,15,40,83,4.7,/game/pc/sunlight/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,90.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,Sunlight,Sunlight
Alfred Hitchcock: Vertigo,1449320,89,73,16,259,67,7.7,/game/pc/alfred-hitchcock-vertigo/critic-reviews,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,76.0,65.0,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,AlfredHitchcockVertigo,AlfredHitchcockVertigo
Tandem: A Tale of Shadows,1436920,123,113,10,193,73,tbd,/game/pc/tandem-a-tale-of-shadows/critic-reviews,,70.0,,,,,,,,,,,,70.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,40.0,,,,,,,,,,,80.0,,,,,,70.0,,70.0,,85.0,,,,,,,,78.0,,,,,,,,,,,,,,,,80.0,60.0,,,,,70.0,,,,,,,,,,,,,,,,90.0,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,TandemATaleofShadows,Tandemataleofshadows
It Takes Two,1426210,70582,67881,2701,7,88,8.8,/game/pc/it-takes-two/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,93.0,,,,,,80.0,,,,,,,,,,95.0,,,,,,90.0,87.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,90.0,,,,,90.0,,,,,90.0,,,,,,,,,92.0,,,95.0,,,,,80.0,90.0,95.0,,,,,,,,,,,,,,,,,90.0,,,,,83.0,,80.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,ItTakesTwo,ItTakesTwo
Blue Reflection: Second Light,1423600,364,344,20,114,78,8.2,/game/pc/blue-reflection-second-light/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,70.0,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,81.0,,,,,,80.0,,BlueReflectionSecondLight,BLUEREFLECTIONSecondLight
Dodgeball Academia,1422420,261,245,16,131,77,8.3,/game/pc/dodgeball-academia/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,80.0,,,,,65.0,,,,,,,,,84.0,70.0,,,,,,70.0,,,,,,,,,,,80.0,,,,,70.0,,,,,,,,,,,,,,,,,,,DodgeballAcademia,DodgeballAcademia
Into the Pit,1422410,111,83,28,266,67,3.5,/game/pc/into-the-pit/critic-reviews,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,65.0,,,65.0,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,IntothePit,IntothePit
Out of Line,1419290,127,120,7,241,69,8.3,/game/pc/out-of-line/critic-reviews,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,80.0,,,,,,77.0,,,,,,,55.0,,,,,,,,70.0,,60.0,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,OutofLine,OutofLine
Nickelodeon All-Star Brawl,1414850,4427,3608,819,288,63,6.8,/game/pc/nickelodeon-all-star-brawl/critic-reviews,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,70.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NickelodeonAllStarBrawl,NickelodeonAllStarBrawl
Shadow Man: Remastered,1413870,754,715,39,285,64,7.5,/game/pc/shadow-man-remastered/critic-reviews,60.0,,,,,,,,,,,65.0,,,,,,,50.0,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,75.0,,,,,,,,,,,,70.0,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,40.0,,,,90.0,,ShadowManRemastered,ShadowManRemastered
Shin Megami Tensei III: Nocturne HD Remaster,1413480,2011,1766,245,95,79,7.4,/game/pc/shin-megami-tensei-iii-nocturne-hd-remaster/critic-reviews,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,80.0,,,,,,,,,,,,,70.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,85.0,,,,,,,,85.0,,,,,,,,,,,75.0,,,,,,,,,,,,60.0,,,,,,70.0,80.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,ShinMegamiTenseiIIINocturneHDRemaster,ShinMegamiTenseiIIINocturneHDRemaster
The Legend of Tianding,1406850,1381,1341,40,77,80,8.4,/game/pc/the-legend-of-tianding/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,79.0,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,70.0,,,,,,,80.0,,,,,,,,,,,,,,,89.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,TheLegendofTianding,TheLegendofTianding
The Elder Scrolls Online: Blackwood,1400970,433,213,220,164,75,4.5,/game/pc/the-elder-scrolls-online-blackwood/critic-reviews,,,,,,,,,,,,,70.0,,,60.0,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,83.0,,,85.0,60.0,,,,,,,70.0,70.0,,,,,,,,,,70.0,,,,,,,75.0,,,,,,75.0,,,,,90.0,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,80.0,,,,,,70.0,,,,,,,,,80.0,,,,,,,70.0,,,TheElderScrollsOnlineBlackwood,TheElderScrollsOnlineBlackwood
Ocean's Heart,1393750,634,541,93,93,79,5.9,/game/pc/oceans-heart/critic-reviews,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,70.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,70.0,,,,,,,80.0,,,85.0,,,,,,90.0,,,,,80.0,,,,,,,,,,,,,,,,,,,OceansHeart,OceansHeart
The Outer Worlds: Murder on Eridanos,1393111,157,138,19,154,76,7.3,/game/pc/the-outer-worlds-murder-on-eridanos/critic-reviews,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,70.0,75.0,,,,,,,,,,,85.0,,,,,,,,90.0,,90.0,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,70.0,,,74.0,,,,,,,60.0,,,,,,,85.0,,,78.0,,,70.0,,,90.0,,,75.0,,,,,,,,,,70.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,70.0,,,,,,,,TheOuterWorldsMurderonEridanos,TheOuterWorldsMurderonEridanos
Doki Doki Literature Club Plus!,1388880,13591,13138,453,60,81,8.8,/game/pc/doki-doki-literature-club-plus!/critic-reviews,,,,,,,,,,,,,,,,70.0,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,80.0,,,,,,,,,,88.0,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,DokiDokiLiteratureClubPlus!,DokiDokiLiteratureClubPlus!
Yakuza 6: The Song of Life,1388590,2663,2503,160,48,82,8.5,/game/pc/yakuza-6-the-song-of-life/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,80.0,,,70.0,79.0,,,,80.0,,,,,,,81.0,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,Yakuza6TheSongofLife,Yakuza6TheSongofLife
Wraith: The Oblivion - Afterlife,1386870,53,30,23,149,76,7.8,/game/pc/wraith-the-oblivion---afterlife/critic-reviews,78.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,90.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,82.0,,,,,,,,,,,,75.0,,70.0,,78.0,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,40.0,,,,,,80.0,,,78.0,,,,,,,76.0,,,,WraithTheOblivionAfterlife,WraithTheOblivionAfterlife
City of Gangsters,1386780,680,509,171,265,67,6.8,/game/pc/city-of-gangsters/critic-reviews,,,,,,,,75.0,,,,60.0,,70.0,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,70.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CityofGangsters,CityofGangsters
Insurmountable,1385100,359,325,34,172,74,tbd,/game/pc/insurmountable/critic-reviews,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,58.0,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,85.0,,,,Insurmountable,Insurmountable
Guilty Gear -Strive-,1384160,24324,22210,2114,17,85,7.9,/game/pc/guilty-gear--strive-/critic-reviews,,,,,,,,,,,,,,,,80.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,80.0,100.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,80.0,,,,,GuiltyGearStrive,GUILTYGEARSTRIVE
Persona 5 Strikers,1382330,8822,8226,596,141,76,6.7,/game/pc/persona-5-strikers/critic-reviews,,,,,,,,,,,,,,,,,,,70.0,,,80.0,,,,,,,,,80.0,60.0,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,85.0,,,,,,,,,,,,85.0,,,,,63.0,,85.0,80.0,,,,,,,,,80.0,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,70.0,,,,100.0,,,,,Persona5Strikers,Persona5Strikers
Grow: Song of the Evertree,1380420,977,847,130,106,78,8.4,/game/pc/grow-song-of-the-evertree/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,90.0,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,70.0,74.0,,,,,,,,,,,,,,,,,,,,70.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,GrowSongoftheEvertree,GrowSongoftheEvertree
Dark Deity,1374840,1593,1241,352,72,80,4.4,/game/pc/dark-deity/critic-reviews,,,,,,,,,,,95.0,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,90.0,,,,,,,,,,,,,,80.0,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,90.0,,,,,,,,91.0,,,,,,,70.0,,,80.0,,,,,,,,,,,,,90.0,,,,,,,,,70.0,,,,,,,,,,DarkDeity,DarkDeity
Strangeland,1369520,459,433,26,171,74,7.9,/game/pc/strangeland/critic-reviews,,80.0,,,,,,,,,,80.0,,,,,,,80.0,,,,,,83.0,,,,,,,60.0,,,,,,,,,,,,,,,,,85.0,,70.0,80.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,78.0,,,,,,,,69.0,,,,,,,,,,,,,,84.0,,,,,,90.0,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,Strangeland,Strangeland
Field of Glory II: Medieval,1368870,239,208,31,158,75,7.3,/game/pc/field-of-glory-ii-medieval/critic-reviews,65.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,73.0,85.0,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,85.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FieldofGloryIIMedieval,FieldofGloryIIMedieval
The Sims 4: Paranormal Stuff Pack,1368571,36,29,7,152,76,tbd,/game/pc/the-sims-4-paranormal-stuff-pack/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,70.0,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,80.0,,,,60.0,,,,,,,,,,,,,,,TheSims4ParanormalStuffPack,TheSims4ParanormalStuffPack
Tormented Souls,1367590,2967,2803,164,157,75,7.7,/game/pc/tormented-souls/critic-reviews,,,,,,,,,,,,,,70.0,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,85.0,56.0,,,,,,70.0,,80.0,,,82.0,,,,,,,,80.0,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,72.0,,,,,,70.0,,,,,,,,,,,,79.0,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,TormentedSouls,TormentedSouls
Moonglow Bay,1361400,250,179,71,279,65,tbd,/game/pc/moonglow-bay/critic-reviews,,,,,,,,,,,,,,,,,,,,85.0,,,,,70.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,60.0,,,,,,,,,70.0,,,,70.0,,,,,,,,,,,MoonglowBay,MoonglowBay
Balan Wonderworld,1341050,246,152,94,319,38,6.5,/game/pc/balan-wonderworld/critic-reviews,,,,,,65.0,,,,,,45.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,20.0,,,,,,,30.0,,,,20.0,,,,40.0,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,BalanWonderworld,BALANWONDERWORLD
Sniper Ghost Warrior Contracts 2,1338770,4877,4127,750,196,73,7.1,/game/pc/sniper-ghost-warrior-contracts-2/critic-reviews,71.0,,,,75.0,,,,,,,80.0,,75.0,,,,,,,,,,,84.0,,,,,,,,,65.0,,,,,,75.0,,,,,,,,,75.0,80.0,70.0,,,,,,75.0,,,,,,,,,,,,,,,,,75.0,60.0,,,,,,,,60.0,,,,,,,,,,80.0,,,,,,,,,,,,,,60.0,70.0,,80.0,,70.0,,,,,,,,,,,,90.0,,,,,,,,,75.0,,,,,,,,,,70.0,,,,,,,,,,,,70.0,,,,,,,,SniperGhostWarriorContracts2,SniperGhostWarriorContracts2
Maskmaker,1337530,154,146,8,153,76,tbd,/game/pc/maskmaker/critic-reviews,76.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,85.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,70.0,,,,,,,,,,,Maskmaker,Maskmaker
Warhammer Age of Sigmar: Tempestfall,1337100,139,98,41,301,60,tbd,/game/pc/warhammer-age-of-sigmar-tempestfall/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,70.0,,,,,,,,,,,75.0,,,,,,,,,,,40.0,,,,,,,,,,67.0,,,,WarhammerAgeofSigmarTempestfall,WarhammerAgeofSigmarTempestfall
Elite: Dangerous - Odyssey,1336350,7079,2390,4689,310,55,3.5,/game/pc/elite-dangerous---odyssey/critic-reviews,,,,,60.0,,50.0,,,,90.0,55.0,,,,,,,60.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,55.0,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,84.0,,,,,,,,,40.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,EliteDangerousOdyssey,EliteDangerousOdyssey
Don't Forget Me,1335800,92,65,27,292,62,tbd,/game/pc/dont-forget-me/critic-reviews,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,50.0,,,,,,,,,58.0,,,,,,,,,,,,,60.0,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,80.0,,,,,,DontForgetMe,DontForgetMe
Operation: Tango,1335790,3314,3009,305,219,71,7.8,/game/pc/operation-tango/critic-reviews,,80.0,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,70.0,60.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,70.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,OperationTango,OperationTango
Alex Kidd in Miracle World DX,1333470,360,313,47,261,67,7.8,/game/pc/alex-kidd-in-miracle-world-dx/critic-reviews,,,,,75.0,80.0,,,,,,70.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,77.0,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,30.0,77.0,,,,,,,,,,,,,,,,,,AlexKiddinMiracleWorldDX,AlexKiddinMiracleWorldDX
