game_name,appid,total_reviews,pos_reviews,neg_reviews,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404,parsed_name_x,parsed_name_y
Essays on Empathy,1586880,80,67,13,85,80,tbd,/game/pc/essays-on-empathy/critic-reviews,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,100.0,,,,,60.0,,,,,,,,,,,70.0,,70.0,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,EssaysonEmpathy,EssaysonEmpathy
Streets of Rage 4: Mr. X Nightmare,1585820,545,494,51,6,88,7.6,/game/pc/streets-of-rage-4-mr-x-nightmare/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,95.0,,,,,,,,,85.0,,90.0,,,,70.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,90.0,,,,100.0,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,StreetsofRage4Mr.XNightmare,StreetsOfRage4Mr.XNightmare
Shadow Tactics: Blades of the Shogun - Aiko's Choice,1579380,1384,1259,125,39,83,8.4,/game/pc/shadow-tactics-blades-of-the-shogun---aikos-choice/critic-reviews,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,70.0,,,,,,,90.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,75.0,,60.0,,,,80.0,,,,,,,,,,,,,,,,95.0,,,80.0,,,85.0,,,,,80.0,,,,,,,,,,,,,,,,,75.0,,95.0,,,,,,ShadowTacticsBladesoftheShogunAikosChoice,ShadowTacticsBladesoftheShogunAikosChoice
Football Manager 2022,1569040,10255,9489,766,19,85,7,/game/pc/football-manager-2022/critic-reviews,,,,,95.0,85.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,70.0,82.0,,,,,,,,,,,80.0,,,,,,,,,,,,83.0,,80.0,,,,,,,82.0,70.0,,,,,,90.0,,90.0,95.0,,,80.0,,,,,80.0,,86.0,,90.0,,,,,75.0,,,,,,90.0,,,,,90.0,,85.0,80.0,,,85.0,80.0,,90.0,90.0,90.0,,,,,,,,,80.0,,,,,,,,,90.0,81.0,,80.0,,90.0,,,,,,80.0,85.0,,90.0,,,,,88.0,,,95.0,,,90.0,,90.0,,,FootballManager2022,FootballManager2022
Golf Club: Wasteland,1556870,377,329,48,99,79,6.2,/game/pc/golf-club-wasteland/critic-reviews,,,,,,,,,,,,70.0,85.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,72.0,,,,,,,80.0,,,,,,,,,,,,,85.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,85.0,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,GolfClubWasteland,GolfClubWasteland
The Jackbox Party Pack 8,1552350,763,698,65,160,75,tbd,/game/pc/the-jackbox-party-pack-8/critic-reviews,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,75.0,,,,,,,,,,,70.0,,,80.0,,,,,,,,,,,,70.0,80.0,,,,,,,,,,,,,,,,,,,TheJackboxPartyPack8,TheJackboxPartyPack8
Forza Horizon 5,1551360,59816,51743,8073,3,91,6.9,/game/pc/forza-horizon-5/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,81.0,,,,,,,,,,,90.0,90.0,,90.0,,,,85.0,,,,,,,,95.0,,,,,,90.0,100.0,,,,,,,,,,,,,,95.0,,,,95.0,,90.0,,,,,,,,,,,90.0,,100.0,90.0,90.0,,,,,,,,,,91.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,85.0,,,,,,ForzaHorizon5,ForzaHorizon5
Aliens: Fireteam Elite,1549970,13242,10803,2439,240,69,5.7,/game/pc/aliens-fireteam-elite/critic-reviews,,,,,,70.0,,50.0,,,,70.0,,,,70.0,90.0,,,,,,55.0,,,,,,,,,,50.0,,,,,,,,,,,,55.0,58.0,,,,75.0,,,,70.0,,80.0,78.0,70.0,,,,,,,,,,,,,,,,100.0,,70.0,,,,,,,70.0,,70.0,,,60.0,,,,,70.0,,,,,,,80.0,,,,,,65.0,80.0,55.0,65.0,73.0,70.0,70.0,,70.0,,,,,50.0,,,,,,,,,,60.0,,,,,,35.0,,,78.0,,,,,80.0,70.0,,,,,,,,,,,,,,,,,,,AliensFireteamElite,AliensFireteamElite
Conway: Disappearance at Dahlia View,1548750,123,107,16,249,68,tbd,/game/pc/conway-disappearance-at-dahlia-view/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,70.0,,,,,,,,,,,,,,,,,,,,,70.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,60.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,55.0,,,,,,ConwayDisappearanceatDahliaView,ConwayDisappearanceatDahliaView
Overboard!,1546920,263,242,21,66,81,tbd,/game/pc/overboard!/critic-reviews,,100.0,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,85.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overboard!,Overboard!
