variable,correlation,pvalue,n
Press Start Australia,0.13620104492139978,0.7267871193424545,9
Quarter to Three,-0.5,0.6666666666666667,3
RPG Fan,0.13913729997149835,0.391857679446995,40
RPG Site,0.47168773170320666,0.05594034632878212,17
RPGamer,-0.19604364719072978,0.5414320131653392,12
Ragequit.gr,0.4050171670574829,0.001462701317420012,59
Riot Pixels,0.44259100667039764,0.0012889556281036416,50
Road to VR,0.4642857142857144,0.2939341076002517,7
SECTOR.sk,-0.1486417213801955,0.6819355638686473,10
Screen Rant,0.16395748339868194,0.08552306389515647,111
Shacknews,0.2758499707792251,0.039606687548712924,56
Shindig,-0.22261551406750307,0.4251771160314267,15
Siliconera,-0.13093073414159545,0.8047261622231061,6
Slant Magazine,0.3269942411815495,0.2001559816797632,17
Softpedia,0.3660718185943873,0.018578942776241662,41
SpazioGames,0.34708702261544705,0.00816474351084054,57
Stevivor,0.08946750577612211,0.7936344655073471,11
The Digital Fix,0.6172133998483678,0.191744357341423,6
The Games Machine,0.26252598985952624,0.012940123254744423,89
The Indie Game Website,0.20224868058197082,0.07018601177613375,81
The Loadout,0.8660254037844387,0.3333333333333332,3
The Mako Reactor,0.5,0.6666666666666667,3
TheGamer,0.34482338021514364,0.014193477023541132,50
TheSixthAxis,0.26886981735191234,0.027802442843934468,67
TierraGamer,0.2723450106920405,0.18781517546845675,25
TrueGaming,0.25836293395904775,0.30059534803738286,18
Trusted Reviews,-0.22360679774997894,0.7176856442107861,5
Twinfinite,0.3707963386346023,0.056903162703350725,27
UploadVR,0.44721359549995787,0.45018485575210093,5
VG247,-0.01960395721311131,0.9469654512575937,14
VGC,-0.06172133998483677,0.9075355544798588,6
Vandal,0.1711185251328775,0.16619242959564742,67
Vgames,-0.42961734455219197,0.18725949643142042,11
Washington Post,0.8196885999705371,0.04583714123245319,6
Wccftech,0.4022145676727811,0.002570165302657364,54
We Got This Covered,-0.7,0.1881204043741873,5
WellPlayed,0.4165956037233446,0.019737486248951646,31
Windows Central,0.2525627080157108,0.20373558689131885,27
Worth Playing,0.42499437002041607,0.00323890087208895,46
XGN,0.49280538030458115,0.3206325828658273,6
ZTGD,0.23859808005696917,0.4113708818058761,14
